,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-mek,dam-lev,jac,id
1000,1292,ref-y.4.4.3.9.4.44-ref-y.4.4.3.9.4.54,ref-mek.7.17.1.126-ref-mek.7.17.1.138,3187593,3187651,479369,479378,ref-y.4.4.3.9.4.44,ref-y.4.4.3.9.4.54,348485,348552,56496,56506,ref-mek.7.17.1.126,ref-mek.7.17.1.138,מופנה להקיש ולדון ממנו גזירה שוה נאמר כאן שני ונאמר להלן ,מופנה להקיש ולדון ממנו גזרה שווה נאמר כאן אשר לא אורשה ונאמר להלן ,9,10,1220.0,1292.0,0.19696969696969696,0.23076923076923073,4050001001
1001,1293,ref-y.4.6.4.1.5.50-ref-y.4.6.4.1.5.60,ref-mek.7.17.1.126-ref-mek.7.17.1.138,3368054,3368113,507399,507408,ref-y.4.6.4.1.5.50,ref-y.4.6.4.1.5.60,348485,348552,56496,56506,ref-mek.7.17.1.126,ref-mek.7.17.1.138,מופנה להקיש ולדון הימינו גזירה שוה נאמר כאן שני ונאמ' להלן ,מופנה להקיש ולדון ממנו גזרה שווה נאמר כאן אשר לא אורשה ונאמר להלן ,9,10,1454.0,1292.0,0.25757575757575757,0.3571428571428571,4050001002
1002,1294,ref-y.2.12.1.3.1.51-ref-y.2.12.1.3.1.96,ref-mek.7.17.1.129-ref-mek.7.17.1.146,1930736,1930956,288522,288563,ref-y.2.12.1.3.1.51,ref-y.2.12.1.3.1.96,348504,348586,56499,56512,ref-mek.7.17.1.129,ref-mek.7.17.1.146,"נאמ' כאן מסת ונאמ' להלן כי לא תוכל שאתו מה שאתו האמו' להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן מעשר אף כאן מעשר ויביא כולם מן עולא בר ישמעאל אמר נאמר כאן",ממנו גזרה שווה נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה,42,14,670.0,1292.0,0.7409326424870466,0.84,4050001003
1003,1296,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-mek.7.17.1.132-ref-mek.7.17.1.146,14071,14133,2226,2238,ref-y.1.1.1.1.35.93,ref-y.1.1.1.1.35.105,348519,348586,56502,56512,ref-mek.7.17.1.132,ref-mek.7.17.1.146,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה להלן חמשים אף כאן ,12,10,7.0,1292.0,0.417910447761194,0.5454545454545454,4050001004
1004,1297,ref-y.1.2.3.6.1.7-ref-y.1.2.3.6.1.31,ref-mek.7.17.1.132-ref-mek.7.17.1.146,242024,242138,38023,38045,ref-y.1.2.3.6.1.7,ref-y.1.2.3.6.1.31,348519,348586,56502,56512,ref-mek.7.17.1.132,ref-mek.7.17.1.146,נאמר כאן שדך ונאמר בכלאי' שדך מה שדך שנ' להלן בית רובע אף כאן בית רובע מה טעמ' דר' יהושע נאמר כאן שדך ונאמ' להלן ,נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה להלן חמשים אף כאן ,22,10,169.0,1292.0,0.6371681415929203,0.7058823529411764,4050001005
1005,1298,ref-y.2.4.6.4.4.5-ref-y.2.4.6.4.4.18,ref-mek.7.17.1.132-ref-mek.7.17.1.146,1561422,1561492,232775,232788,ref-y.2.4.6.4.4.5,ref-y.2.4.6.4.4.18,348519,348586,56502,56512,ref-mek.7.17.1.132,ref-mek.7.17.1.146,נאמר כאן אזכרה ונאמר להלן אזכרה מה אזכרה האמורה להלן מלא קומץ אף כאן ,נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה להלן חמשים אף כאן ,13,10,511.0,1292.0,0.42028985507246375,0.5454545454545454,4050001006
1006,1299,ref-y.2.10.4.4.5.69-ref-y.2.10.4.4.5.81,ref-mek.7.17.1.132-ref-mek.7.17.1.146,1913238,1913298,285795,285805,ref-y.2.10.4.4.5.69,ref-y.2.10.4.4.5.81,348519,348586,56502,56512,ref-mek.7.17.1.132,ref-mek.7.17.1.146,נאמר כאן בני ישראל ונאמר להלן בני ישראל מה להלן עשר' אף כאן ,נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה להלן חמשים אף כאן ,10,10,647.0,1292.0,0.3582089552238806,0.5,4050001007
1007,1300,ref-y.2.12.1.2.2.113-ref-y.2.12.1.2.2.125,ref-mek.7.17.1.132-ref-mek.7.17.1.146,1928666,1928730,288237,288249,ref-y.2.12.1.2.2.113,ref-y.2.12.1.2.2.125,348519,348586,56502,56512,ref-mek.7.17.1.132,ref-mek.7.17.1.146,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף כאן ,נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה להלן חמשים אף כאן ,12,10,656.0,1292.0,0.40298507462686567,0.5,4050001008
1008,1302,ref-y.3.1.12.6.7.63-ref-y.3.1.12.6.7.77,ref-mek.7.17.1.132-ref-mek.7.17.1.146,2206411,2206483,329792,329806,ref-y.3.1.12.6.7.63,ref-y.3.1.12.6.7.77,348519,348586,56502,56512,ref-mek.7.17.1.132,ref-mek.7.17.1.146,נאמר כאן קרייה ונאמר להלן ויקרא בהם שמי מה קרייה שנאמר להלן שבח אף כאן ,נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה להלן חמשים אף כאן ,14,10,764.0,1292.0,0.49295774647887325,0.6153846153846154,4050001009
1009,1303,ref-y.3.2.4.4.6.91-ref-y.3.2.4.4.6.103,ref-mek.7.17.1.132-ref-mek.7.17.1.146,2418731,2418790,362123,362135,ref-y.3.2.4.4.6.91,ref-y.3.2.4.4.6.103,348519,348586,56502,56512,ref-mek.7.17.1.132,ref-mek.7.17.1.146,נאמר כאן שומה ונאמר להלן שומה מה שומה שנ' להלן ממון אף כאן ,נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה להלן חמשים אף כאן ,12,10,906.0,1292.0,0.373134328358209,0.5454545454545454,4050001010
1010,1304,ref-y.3.7.1.7.18.128-ref-y.3.7.1.7.18.140,ref-mek.7.17.1.132-ref-mek.7.17.1.146,2879134,2879199,431636,431648,ref-y.3.7.1.7.18.128,ref-y.3.7.1.7.18.140,348519,348586,56502,56512,ref-mek.7.17.1.132,ref-mek.7.17.1.146,נאמר כאן קרחה ונאמר להלן קרחה מה קדחה האמורה להלן כגרים אף כאן ,נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה להלן חמשים אף כאן ,12,10,1061.0,1292.0,0.40298507462686567,0.5454545454545454,4050001011
1011,1305,ref-y.4.5.2.1.2.56-ref-y.4.5.2.1.2.70,ref-mek.7.17.1.132-ref-mek.7.17.1.146,3323464,3323537,500689,500703,ref-y.4.5.2.1.2.56,ref-y.4.5.2.1.2.70,348519,348586,56502,56512,ref-mek.7.17.1.132,ref-mek.7.17.1.146,נאמר כאן נשילה ונאמר להלן כי ישל זיתיך מה נשילה שנאמר להלן נשירה אף כאן ,נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה להלן חמשים אף כאן ,14,10,1416.0,1292.0,0.4583333333333333,0.4545454545454546,4050001012
1012,1306,ref-y.4.6.4.1.6.11-ref-y.4.6.4.1.6.27,ref-mek.7.17.1.132-ref-mek.7.17.1.146,3368298,3368369,507438,507448,ref-y.4.6.4.1.6.11,ref-y.4.6.4.1.6.27,348519,348586,56502,56512,ref-mek.7.17.1.132,ref-mek.7.17.1.146,נאמר כאן שני ונאמר להלן על פי שנים עדים מה להלן על פי שנים עדים אף כאן ,נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה להלן חמשים אף כאן ,10,10,1459.0,1292.0,0.5211267605633803,0.5454545454545454,4050001013
1013,1307,ref-y.3.1.6.3.1.23-ref-y.3.1.6.3.1.51,ref-mek.7.17.1.132-ref-mek.7.17.1.152,2123106,2123246,317639,317664,ref-y.3.1.6.3.1.23,ref-y.3.1.6.3.1.51,348519,348613,56502,56518,ref-mek.7.17.1.132,ref-mek.7.17.1.152,להלן אירוסין אף כאן אירוסין מה טעמון דר' לעזר ור' שמעון נאמר כאן חוייה ונאמר להלן ובת כהן כי תהיה לאיש זר מה הוייה שנ' להלן,נאמר כאן אשר לא אורשה ונאמר להלן אשר לא אורשה מה להלן חמשים אף כאן חמשים מה,26,17,732.0,1292.0,0.6747967479674797,0.75,4050001014
1014,1309,ref-y.4.8.4.11.1.67-ref-y.4.8.4.11.1.75,ref-mek.7.17.1.167-ref-mek.7.17.1.174,3490844,3490894,525966,525974,ref-y.4.8.4.11.1.67,ref-y.4.8.4.11.1.75,348688,348731,56530,56537,ref-mek.7.17.1.167,ref-mek.7.17.1.174,כשם שנתנו פישוט ידיים בטהרו' כך נתנו פישוט ידיים ,כשם שבתפוסה נותן מיד כך במפותה נותן מיד ,8,7,1518.0,1309.0,0.6326530612244898,0.5555555555555556,4050001015
1015,1310,ref-y.3.2.3.5.2.21-ref-y.3.2.3.5.2.40,ref-mek.7.17.1.173-ref-mek.7.17.1.194,2407438,2407541,360393,360410,ref-y.3.2.3.5.2.21,ref-y.3.2.3.5.2.40,348722,348836,56536,56556,ref-mek.7.17.1.173,ref-mek.7.17.1.194,במוהר הבתולות מגיד שהוא עושה אותן עליו מוהר ואין מוהר אלא כתובה כמה דאת אמר הרבו עלי מאד,נותן מיד תלמוד לומר מהור ימהרנה לו לאשה מגיד שהוא עליו עשה מהור ואין מהור אלא כתובה שנאמר הרבו עלי מוהר,18,21,894.0,1309.0,0.5048543689320388,0.3529411764705882,4050001016
1016,1312,ref-y.3.5.8.3.11.68-ref-y.3.5.8.3.11.93,ref-mek.7.17.1.194-ref-mek.7.17.1.203,2335751,2335878,349675,349691,ref-y.3.5.8.3.11.68,ref-y.3.5.8.3.11.93,348831,348883,56556,56564,ref-mek.7.17.1.194,ref-mek.7.17.1.203,"תתן את העדות אשר אתן אליך ואחר כך ונתת את הכפורת על הארון מלמעלה רבי פינחס בשם רבי שמעון בן לקיש תורה שנתן הקב""ה עורה אש ",ומתן ואתנה כאשר תאמרו אלי ותנו לי את הנערה לאשה ,16,8,864.0,1309.0,0.743801652892562,0.8571428571428572,4050001017
1017,1313,ref-y.3.2.6.7.2.10-ref-y.3.2.6.7.2.28,ref-mek.7.17.1.194-ref-mek.7.17.1.203,2454369,2454464,367422,367440,ref-y.3.2.6.7.2.10,ref-y.3.2.6.7.2.28,348831,348883,56556,56564,ref-mek.7.17.1.194,ref-mek.7.17.1.203,נותנין להן סלע אל תתנו להן אלא שקל נותנין להן שקל ולמזון האשה והבנות בין שאמר תנו בין שאמר ,ומתן ואתנה כאשר תאמרו אלי ותנו לי את הנערה לאשה ,18,8,928.0,1309.0,0.6813186813186813,0.8,4050001018
1018,1314,ref-y.4.4.8.9.1.38-ref-y.4.4.8.9.1.49,ref-mek.7.17.1.219-ref-mek.7.17.1.226,3260232,3260304,490681,490687,ref-y.4.4.8.9.1.38,ref-y.4.4.8.9.1.49,348972,349021,56579,56585,ref-mek.7.17.1.219,ref-mek.7.17.1.226,לבהן גדול גרושה וחלוצה לכהן הדיוט ממזרת ונתינה לישראל בת ישראל לנתין ,לכהן הדיוט ממזרת ונתינה לישראל בת ישראל לנתין ,6,6,1350.0,1314.0,0.3333333333333333,0.36363636363636365,4050001019
1019,1315,ref-y.3.2.3.5.2.14-ref-y.3.2.3.5.2.23,ref-mek.7.17.1.246-ref-mek.7.17.1.252,2407403,2407458,360388,360395,ref-y.3.2.3.5.2.14,ref-y.3.2.3.5.2.23,349121,349159,56600,56606,ref-mek.7.17.1.246,ref-mek.7.17.1.252,נותן כלום תני רבי ישמעאל כסף ישקול במוהר הבתולות מגיד ,לתתה לו כסף ישקול כמוהר הבתולות מגיד ,7,6,894.0,1315.0,0.3888888888888889,0.5,4050001020
1020,1316,ref-y.3.2.3.1.1.46-ref-y.3.2.3.1.1.50,ref-mek.7.17.1.324-ref-mek.7.17.1.328,2397719,2397746,359019,359023,ref-y.3.2.3.1.1.46,ref-y.3.2.3.1.1.50,349510,349539,56669,56673,ref-mek.7.17.1.324,ref-mek.7.17.1.328,אם מאן ימאן אביה אין לי אלא ,ואם מאן ימאן אביה אין לי אלא ,4,4,883.0,1316.0,0.034482758620689655,0.0,4050001021
1021,1317,ref-y.3.2.3.4.2.53-ref-y.3.2.3.4.2.72,ref-mek.7.17.1.361-ref-mek.7.17.1.370,2406494,2406582,360252,360270,ref-y.3.2.3.4.2.53,ref-y.3.2.3.4.2.72,349680,349726,56692,56701,ref-mek.7.17.1.361,ref-mek.7.17.1.370,חמשין אף הבא חמשין ולית ליה לר' יוסי חמשין אית ליה כסף כסף מה כסף שנ' להלן משין אף כאן ,כסף ונאמר להלן כסף מה להלן חמשים אף כאן חמשים ,18,9,893.0,1317.0,0.7011494252873564,0.6153846153846154,4050001022
1022,1318,ref-y.4.4.7.13.1.33-ref-y.4.4.7.13.1.72,ref-mek.7.17.1.386-ref-mek.7.17.2.73,3249404,3249596,488933,488969,ref-y.4.4.7.13.1.33,ref-y.4.4.7.13.1.72,349806,350178,56716,56781,ref-mek.7.17.1.386,ref-mek.7.17.2.73,כאן מכשפה לא תחיה ונאמר להלן אם בהמה אם איש לא יהיה מה לא יחיה שנאמר להלן בסקילה אף כאן בסקילה מה טעמון דרבנין מאמר כאן מכשפה לא תחיה ונאמר להלן לא תחיה כלנשמה מה לא תחיה,להלן חמשים כסף אף כאן חמשים כסף מכשפה לא תחיה אחד איש ואחד אשה ר' ישמעאל אומר נאמר כאן לא תחיה ונאמר להלן לא תחיה כל נשמה מה להלן בסייף אף כאן בסייף ר' עקיבא אומר נאמר כאן לא תחיה ונאמר להלן אם בהמה אם איש לא יחיה מה להלן בסקילה אף כאן בסקילה אמר ר' ישמעאל הריני דן לא תחיה מלא תחיה ואתה משיבני מלא,37,66,1321.0,1318.0,0.6208053691275168,0.5925925925925926,4050001023
1023,1320,ref-y.4.4.7.13.1.104-ref-y.4.4.7.13.1.116,ref-mek.7.17.1.390-ref-mek.7.17.2.82,3249747,3249804,488995,489007,ref-y.4.4.7.13.1.104,ref-y.4.4.7.13.1.116,349824,350218,56720,56790,ref-mek.7.17.1.390,ref-mek.7.17.2.82,כאן מכשפה לא תחיה ונאמר להלן כל שוכב עם בהמה מות יומת מה,כאן חמשים כסף מכשפה לא תחיה אחד איש ואחד אשה ר' ישמעאל אומר נאמר כאן לא תחיה ונאמר להלן לא תחיה כל מכשפה לא תחיה ונאמר כל שוכב עם בהמה מות יומת וסמכו לומר מה,13,71,1330.0,1318.0,0.643312101910828,0.4444444444444444,4050001024
1024,1321,ref-y.4.4.3.9.4.57-ref-y.4.4.3.9.4.75,ref-mek.7.17.2.5-ref-mek.7.17.2.40,3187664,3187758,479381,479399,ref-y.4.4.3.9.4.57,ref-y.4.4.3.9.4.75,349856,350019,56727,56754,ref-mek.7.17.2.5,ref-mek.7.17.2.40,אנשים מה להלן אנשים ולא נשים אף כאן אנשים ולא נשים ולא קטנים הרי למדנו שאין האשה דנה ולא ,איש ואחד אשה ר' ישמעאל אומר נאמר כאן לא תחיה ונאמר להלן לא תחיה כל נשמה מה להלן בסייף אף כאן בסייף ר' עקיבא אומר נאמר כאן לא תחיה ונאמר להלן אם בהמה אם איש לא ,18,27,1220.0,1318.0,0.710691823899371,0.75,4050001025
1025,1322,ref-y.3.1.6.3.1.36-ref-y.3.1.6.3.1.51,ref-mek.7.17.2.14-ref-mek.7.17.2.25,2123171,2123246,317652,317664,ref-y.3.1.6.3.1.36,ref-y.3.1.6.3.1.51,349897,349951,56732,56743,ref-mek.7.17.2.14,ref-mek.7.17.2.25,חוייה ונאמר להלן ובת כהן כי תהיה לאיש זר מה הוייה שנ' להלן נישואין אף כאן ,תחיה ונאמר להלן לא תחיה כל נשמה מה להלן בסייף אף כאן ,12,11,732.0,1318.0,0.47297297297297297,0.7142857142857143,4050001026
1026,1323,ref-y.3.1.12.6.7.66-ref-y.3.1.12.6.7.77,ref-mek.7.17.2.20-ref-mek.7.17.2.37,2206426,2206483,329795,329806,ref-y.3.1.12.6.7.66,ref-y.3.1.12.6.7.77,349925,350009,56738,56751,ref-mek.7.17.2.20,ref-mek.7.17.2.37,ונאמר להלן ויקרא בהם שמי מה קרייה שנאמר להלן שבח אף כאן,נשמה מה להלן בסייף אף כאן בסייף ר' עקיבא אומר נאמר כאן לא תחיה,12,14,764.0,1318.0,0.6612903225806451,0.7142857142857143,4050001027
1027,1328,ref-y.1.1.3.4.8.97-ref-y.1.1.3.4.8.103,ref-mek.7.17.2.73-ref-mek.7.17.2.79,73829,73860,12024,12030,ref-y.1.1.3.4.8.97,ref-y.1.1.3.4.8.103,350172,350203,56781,56787,ref-mek.7.17.2.73,ref-mek.7.17.2.79,שנאמר כל שוכב עם בהמה מות יומת ,ונאמר כל שוכב עם בהמה מות יומת ,6,6,81.0,1318.0,0.03225806451612903,0.2857142857142857,4050001028
1028,1329,ref-y.4.4.7.5.5.48-ref-y.4.4.7.5.5.52,ref-mek.7.17.2.107-ref-mek.7.17.2.112,3230451,3230476,486157,486161,ref-y.4.4.7.5.5.48,ref-y.4.4.7.5.5.52,350337,350369,56806,56811,ref-mek.7.17.2.107,ref-mek.7.17.2.112,בכלל היו ולמה יצאו להקיש ,בכלל מכשפים היו ולמה יצאו להקיש ,4,5,1304.0,1329.0,0.21875,0.19999999999999996,4050001029
1029,1330,ref-y.4.4.7.9.2.17-ref-y.4.4.7.9.2.21,ref-mek.7.17.2.107-ref-mek.7.17.2.112,3241102,3241128,487720,487724,ref-y.4.4.7.9.2.17,ref-y.4.4.7.9.2.21,350337,350369,56806,56811,ref-mek.7.17.2.107,ref-mek.7.17.2.112,בכלל היתה ולמה יצאת להקיש ,בכלל מכשפים היו ולמה יצאו להקיש ,4,5,1310.0,1329.0,0.28125,0.5714285714285714,4050001030
1030,1331,ref-y.1.4.8.1.5.131-ref-y.1.4.8.1.5.139,ref-mek.7.17.2.107-ref-mek.7.17.2.116,429298,429342,66013,66021,ref-y.1.4.8.1.5.131,ref-y.1.4.8.1.5.139,350337,350388,56806,56815,ref-mek.7.17.2.107,ref-mek.7.17.2.116,בכלל היו ולמה יצאו להקיש אליהן ולומר לך מה ,בכלל מכשפים היו ולמה יצאו להקיש עליהם ולומר לך מה ,8,9,191.0,1329.0,0.18,0.33333333333333337,4050001031
1031,1332,ref-y.2.1.7.2.15.49-ref-y.2.1.7.2.15.57,ref-mek.7.17.2.107-ref-mek.7.17.2.116,998833,998874,149536,149544,ref-y.2.1.7.2.15.49,ref-y.2.1.7.2.15.57,350337,350388,56806,56815,ref-mek.7.17.2.107,ref-mek.7.17.2.116,בכלל היו ולמה יצאו להקיש אליהן לו' לך מה ,בכלל מכשפים היו ולמה יצאו להקיש עליהם ולומר לך מה ,8,9,319.0,1329.0,0.24,0.5,4050001032
1032,1333,ref-y.3.4.6.1.2.112-ref-y.3.4.6.1.2.121,ref-mek.7.17.2.107-ref-mek.7.17.2.116,2766930,2766973,414597,414604,ref-y.3.4.6.1.2.112,ref-y.3.4.6.1.2.121,350337,350388,56806,56815,ref-mek.7.17.2.107,ref-mek.7.17.2.116,בכלל היה ולמה יצאת מן הכלל ללמד לומר לך מה ,בכלל מכשפים היו ולמה יצאו להקיש עליהם ולומר לך מה ,7,9,991.0,1329.0,0.4,0.75,4050001033
1033,1334,ref-y.4.4.7.10.1.84-ref-y.4.4.7.10.1.90,ref-mek.7.17.2.129-ref-mek.7.17.2.135,3243667,3243698,488099,488105,ref-y.4.4.7.10.1.84,ref-y.4.4.7.10.1.90,350455,350486,56823,56829,ref-mek.7.17.2.129,ref-mek.7.17.2.135,לא ימצא בך מעביר בנו ובתו באש ,לא ימצא בך מעביר בנו ובתו באש ,6,6,1316.0,1334.0,0.0,0.0,4050001034
1034,1335,ref-y.1.1.3.4.8.94-ref-y.1.1.3.4.8.103,ref-mek.7.17.3.1-ref-mek.7.17.3.19,73812,73860,12021,12030,ref-y.1.1.3.4.8.94,ref-y.1.1.3.4.8.103,350518,350609,56835,56849,ref-mek.7.17.3.1,ref-mek.7.17.3.19,הבהמה שהו' נסקל שנאמר כל שוכב עם בהמה מות יומת ,כל שוכב עם בהמה מות יומת למה נאמר לפי שהוא אומר ואיש אשר יתן שכבתו בבהמה בסקילה אתה אומר ,9,14,81.0,1335.0,0.6741573033707865,0.5625,4050001035
1035,1336,ref-y.4.4.7.13.1.110-ref-y.4.4.7.13.1.122,ref-mek.7.17.3.1-ref-mek.7.17.3.20,3249777,3249839,489001,489013,ref-y.4.4.7.13.1.110,ref-y.4.4.7.13.1.122,350518,350617,56835,56850,ref-mek.7.17.3.1,ref-mek.7.17.3.20,כל שוכב עם בהמה מות יומת מה מיתת הבהמה בסקילה אך כאן בסקילה ,כל שוכב עם בהמה מות יומת למה נאמר לפי שהוא אומר ואיש אשר יתן שכבתו בבהמה בסקילה אתה אומר בסקילה ,12,15,1330.0,1335.0,0.4270833333333333,0.5882352941176471,4050001036
1036,1337,ref-y.4.4.7.7.2.26-ref-y.4.4.7.7.2.32,ref-mek.7.17.3.2-ref-mek.7.17.3.15,3236323,3236358,486967,486973,ref-y.4.4.7.7.2.26,ref-y.4.4.7.7.2.32,350521,350585,56836,56845,ref-mek.7.17.3.2,ref-mek.7.17.3.15,ואיש אשר יתן שכבתו בכחמה מות יומת,שוכב עם בהמה מות יומת למה נאמר לפי שהוא אומר,7,10,1305.0,1335.0,0.75,0.8181818181818181,4050001037
1037,1338,ref-y.4.4.7.7.2.299-ref-y.4.4.7.7.2.312,ref-mek.7.17.3.4-ref-mek.7.17.3.16,3237693,3237766,487176,487188,ref-y.4.4.7.7.2.299,ref-y.4.4.7.7.2.312,350529,350592,56838,56846,ref-mek.7.17.3.4,ref-mek.7.17.3.16,ואשה אשר תעמד לפני בהמה לרבעה אותה והרגת את האשה ואת הבהמה מות יומתו ,בהמה מות יומת למה נאמר לפי שהוא אומר ואיש אשר יתן שכבתו בבהמה ,12,8,1307.0,1335.0,0.6956521739130435,0.6428571428571428,4050001038
1038,1340,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-mek.7.17.3.34-ref-mek.7.17.3.44,14071,14133,2226,2238,ref-y.1.1.1.1.35.93,ref-y.1.1.1.1.35.105,350693,350748,56861,56871,ref-mek.7.17.3.34,ref-mek.7.17.3.44,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן הריגה ונאמר להלן הריגה מה להלן בסקילה אף כאן ,12,10,7.0,1340.0,0.3442622950819672,0.5,4050001039
1039,1341,ref-y.1.2.3.6.1.7-ref-y.1.2.3.6.1.31,ref-mek.7.17.3.34-ref-mek.7.17.3.44,242024,242138,38023,38045,ref-y.1.2.3.6.1.7,ref-y.1.2.3.6.1.31,350693,350748,56861,56871,ref-mek.7.17.3.34,ref-mek.7.17.3.44,נאמר כאן שדך ונאמר בכלאי' שדך מה שדך שנ' להלן בית רובע אף כאן בית רובע מה טעמ' דר' יהושע נאמר כאן שדך ונאמ' להלן ,נאמר כאן הריגה ונאמר להלן הריגה מה להלן בסקילה אף כאן ,22,10,169.0,1340.0,0.6991150442477876,0.6875,4050001040
1040,1342,ref-y.2.4.6.4.4.5-ref-y.2.4.6.4.4.18,ref-mek.7.17.3.34-ref-mek.7.17.3.44,1561422,1561492,232775,232788,ref-y.2.4.6.4.4.5,ref-y.2.4.6.4.4.18,350693,350748,56861,56871,ref-mek.7.17.3.34,ref-mek.7.17.3.44,נאמר כאן אזכרה ונאמר להלן אזכרה מה אזכרה האמורה להלן מלא קומץ אף כאן ,נאמר כאן הריגה ונאמר להלן הריגה מה להלן בסקילה אף כאן ,13,10,511.0,1340.0,0.391304347826087,0.5,4050001041
1041,1343,ref-y.2.10.4.4.5.69-ref-y.2.10.4.4.5.81,ref-mek.7.17.3.34-ref-mek.7.17.3.44,1913238,1913298,285795,285805,ref-y.2.10.4.4.5.69,ref-y.2.10.4.4.5.81,350693,350748,56861,56871,ref-mek.7.17.3.34,ref-mek.7.17.3.44,נאמר כאן בני ישראל ונאמר להלן בני ישראל מה להלן עשר' אף כאן ,נאמר כאן הריגה ונאמר להלן הריגה מה להלן בסקילה אף כאן ,10,10,647.0,1340.0,0.36666666666666664,0.4444444444444444,4050001042
1042,1344,ref-y.2.12.1.2.2.113-ref-y.2.12.1.2.2.125,ref-mek.7.17.3.34-ref-mek.7.17.3.44,1928666,1928730,288237,288249,ref-y.2.12.1.2.2.113,ref-y.2.12.1.2.2.125,350693,350748,56861,56871,ref-mek.7.17.3.34,ref-mek.7.17.3.44,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף כאן ,נאמר כאן הריגה ונאמר להלן הריגה מה להלן בסקילה אף כאן ,12,10,656.0,1340.0,0.36507936507936506,0.4444444444444444,4050001043
1043,1345,ref-y.3.1.6.3.1.34-ref-y.3.1.6.3.1.51,ref-mek.7.17.3.34-ref-mek.7.17.3.44,2123162,2123246,317650,317664,ref-y.3.1.6.3.1.34,ref-y.3.1.6.3.1.51,350693,350748,56861,56871,ref-mek.7.17.3.34,ref-mek.7.17.3.44,נאמר כאן חוייה ונאמר להלן ובת כהן כי תהיה לאיש זר מה הוייה שנ' להלן נישואין אף כאן ,נאמר כאן הריגה ונאמר להלן הריגה מה להלן בסקילה אף כאן ,14,10,732.0,1340.0,0.4819277108433735,0.6153846153846154,4050001044
1044,1346,ref-y.3.1.12.6.7.63-ref-y.3.1.12.6.7.77,ref-mek.7.17.3.34-ref-mek.7.17.3.44,2206411,2206483,329792,329806,ref-y.3.1.12.6.7.63,ref-y.3.1.12.6.7.77,350693,350748,56861,56871,ref-mek.7.17.3.34,ref-mek.7.17.3.44,נאמר כאן קרייה ונאמר להלן ויקרא בהם שמי מה קרייה שנאמר להלן שבח אף כאן ,נאמר כאן הריגה ונאמר להלן הריגה מה להלן בסקילה אף כאן ,14,10,764.0,1340.0,0.4225352112676056,0.5833333333333333,4050001045
1045,1347,ref-y.3.2.4.4.6.91-ref-y.3.2.4.4.6.103,ref-mek.7.17.3.34-ref-mek.7.17.3.44,2418731,2418790,362123,362135,ref-y.3.2.4.4.6.91,ref-y.3.2.4.4.6.103,350693,350748,56861,56871,ref-mek.7.17.3.34,ref-mek.7.17.3.44,נאמר כאן שומה ונאמר להלן שומה מה שומה שנ' להלן ממון אף כאן ,נאמר כאן הריגה ונאמר להלן הריגה מה להלן בסקילה אף כאן ,12,10,906.0,1340.0,0.3728813559322034,0.5,4050001046
1046,1348,ref-y.3.7.1.7.18.128-ref-y.3.7.1.7.18.140,ref-mek.7.17.3.34-ref-mek.7.17.3.44,2879134,2879199,431636,431648,ref-y.3.7.1.7.18.128,ref-y.3.7.1.7.18.140,350693,350748,56861,56871,ref-mek.7.17.3.34,ref-mek.7.17.3.44,נאמר כאן קרחה ונאמר להלן קרחה מה קדחה האמורה להלן כגרים אף כאן ,נאמר כאן הריגה ונאמר להלן הריגה מה להלן בסקילה אף כאן ,12,10,1061.0,1340.0,0.3492063492063492,0.5,4050001047
