baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-t,dam-lev,jac,id
ref-t.4.3.2.6.25-ref-t.4.3.2.6.36,ref-y.2.2.10.14.2.7-ref-y.2.2.10.14.2.28,847447,847510,ref-t.4.3.2.6.25,ref-t.4.3.2.6.36,1222162,1222272,ref-y.2.2.10.14.2.7,ref-y.2.2.10.14.2.28,בניתנין מתנה אחת ינתנו מתנה אחת מתן ארבע במתן ארבע ינתם מתן ארבע מתן ארבע כמתן אחת רבי אליעז' או' ינתנו מתן ארבע במתן ארבע ינתם מתן ארבע מתן ארבע כמתן אחת רבי אליעז' או' ינתנו מתן,בניתנין מתנה אחת ינתנו מתנה אחת מתן ארבע במתן ארבע ינתם מתן ארבע מתן ארבע כמתן אחת רבי אליעז' או' ינתנו מתן ארבע במתן ארבע ינתם מתן ארבע מתן ארבע כמתן אחת רבי אליעז' או' ינתנו מתן,12,22,3176,3176.0,7081,7081.0,0.0,0.0,2070004994
ref-t.4.3.2.6.21-ref-t.4.3.2.6.34,ref-y.3.5.9.1.1.67-ref-y.3.5.9.1.1.86,847428,847496,ref-t.4.3.2.6.21,ref-t.4.3.2.6.34,2341485,2341588,ref-y.3.5.9.1.1.67,ref-y.3.5.9.1.1.86,אנו אותו מבירין אנו אותו אבל באותן שאמרו אם רואין אנו אותו אין אנו מכירין אותו,באותן שאמרו אם רואין אנו אותו מבירין אנו אותו אבל באותן שאמרו אם רואין אנו אותו אין אנו מכירין אותו,13,19,6477,6477.0,7075,7075.0,0.21212121212121213,0.0,2070004995
ref-t.4.3.2.6.29-ref-t.4.3.2.6.36,ref-y.3.2.9.1.11.51-ref-y.3.2.9.1.11.64,847467,847510,ref-t.4.3.2.6.29,ref-t.4.3.2.6.36,2478862,2478934,ref-y.3.2.9.1.11.51,ref-y.3.2.9.1.11.64,חזקיה הלכה כרבי יודה הדא אמרה מכרה מכר תני האומר ינתנו נכסיי לפלוני מת,חזקיה הלכה כרבי יודה הדא אמרה מכרה מכר תני האומר ינתנו נכסיי לפלוני מת,8,11,6911,6911.0,7083,7083.0,0.0,0.0,2070004996
ref-t.4.3.2.6.23-ref-t.4.3.2.6.36,ref-y.3.4.9.5.1.158-ref-y.3.4.9.5.1.176,847438,847510,ref-t.4.3.2.6.23,ref-t.4.3.2.6.36,2819768,2819862,ref-y.3.4.9.5.1.158,ref-y.3.4.9.5.1.176,"למיתה והיה מאימתי נותנין לו משעה שיקל מ""ד עומד של טעות הוא לא נתן אין אומרין לו שיתן נתן","למיתה והיה מאימתי נותנין לו משעה שיקל מ""ד עומד של טעות הוא לא נתן אין אומרין לו שיתן נתן",14,19,8010,8010.0,7077,7077.0,0.0,0.0,2070004997
ref-t.4.3.2.6.19-ref-t.4.3.2.6.29,ref-y.4.3.3.3.7.108-ref-y.4.3.3.3.7.118,847421,847471,ref-t.4.3.2.6.19,ref-t.4.3.2.6.29,3088828,3088875,ref-y.4.3.3.3.7.108,ref-y.4.3.3.3.7.118,אמ' לו אתה מכרתם לי ואתה נתתם לי במתנה אינה חזקה ,אמר לו אתה מברתה לי אתה נתתה לי מתנה אינה חזק' ,11,11,8822,8818.0,7071,7071.0,0.14285714285714285,0.8333333333333334,2070004998
ref-t.4.3.2.6.19-ref-t.4.3.2.6.37,ref-y.4.3.3.5.1.65-ref-y.4.3.3.5.1.88,847421,847522,ref-t.4.3.2.6.19,ref-t.4.3.2.6.37,3089850,3089964,ref-y.4.3.3.5.1.65,ref-y.4.3.3.5.1.88,לי כיליי אמר לו אתה נתתו לי במתנה אתה מכרתו לי אינה חזקה אתה אמרת לי למוכרו לי אתה אמרת ליתנו לי מתנה הרי זו חזקה,לי כיליי אמר לו אתה נתתו לי במתנה אתה מכרתו לי אינה חזקה אתה אמרת לי למוכרו לי אתה אמרת ליתנו לי מתנה הרי זו חזקה,18,23,8830,8830.0,7073,7073.0,0.0,0.0,2070004999
ref-t.4.3.2.6.23-ref-t.4.3.2.6.36,ref-y.4.6.6.6.1.193-ref-y.4.6.6.6.1.201,847438,847510,ref-t.4.3.2.6.23,ref-t.4.3.2.6.36,3396564,3396605,ref-y.4.6.6.6.1.193,ref-y.4.6.6.6.1.201,לי ואתה נתתם לי במתנה אינה חזקה אתה אמרת למוכרם אתה אמרת ליתנם במתנה ,תן לי מאתים זחים שאמרת ליתן לי ולא נתתה ,14,9,9744,9742.0,7078,7071.0,0.6521739130434783,0.9230769230769231,2070005000
ref-t.4.3.2.8.5-ref-t.4.3.2.8.19,ref-y.3.5.2.5.7.29-ref-y.3.5.2.5.7.44,847643,847714,ref-t.4.3.2.8.5,ref-t.4.3.2.8.19,2276532,2276617,ref-y.3.5.2.5.7.29,ref-y.3.5.2.5.7.44,אחת ובפני הבן שתי שנים הרי זו חזקה בפני האב שתי שנים ובפני הבן שנה ,אחד אין האשה שותה ושונה משני אנשים חאשה שותה ושונה וחכמים אומ' בין מאיש אחר בין ,15,16,6190,6188.0,7086,7085.0,0.6875,0.8823529411764706,2070005001
ref-t.4.3.2.8.30-ref-t.4.3.2.9.4,ref-y.3.6.1.1.6.39-ref-y.3.6.1.1.6.45,847761,847811,ref-t.4.3.2.8.30,ref-t.4.3.2.9.4,2613203,2613240,ref-y.3.6.1.1.6.39,ref-y.3.6.1.1.6.45,ובפני הלוקח שנה הרי זו חזקה החזיק האב בפני שנים ,בפני שנים כדי להחזיקה גרושה בפני שנים ,10,7,7292,7292.0,7089,7085.0,0.4791666666666667,0.7,2070005002
ref-t.4.3.2.8.6-ref-t.4.3.2.8.17,ref-y.3.4.9.1.6.34-ref-y.3.4.9.1.6.48,847647,847705,ref-t.4.3.2.8.6,ref-t.4.3.2.8.17,2812688,2812761,ref-y.3.4.9.1.6.34,ref-y.3.4.9.1.6.48,ובפני הבן שתי שנים הרי זו חזקה בפני האב שתי שנים ובפני ,בפניי בין שלא בפניי שתה אוף רבי מאיר מודה אם באומר בפניי שתה שלא בפניי ,12,15,7980,7979.0,7087,7085.0,0.5915492957746479,0.8,2070005003
ref-t.4.3.2.8.6-ref-t.4.3.2.8.17,ref-y.3.4.9.1.6.63-ref-y.3.4.9.1.6.78,847647,847705,ref-t.4.3.2.8.6,ref-t.4.3.2.8.17,2812823,2812899,ref-y.3.4.9.1.6.63,ref-y.3.4.9.1.6.78,ובפני הבן שתי שנים הרי זו חזקה בפני האב שתי שנים ובפני ,בפני שתה ושלא בפני אל תשתה רבי יוסי אומ' באומ' בין בפניי בין שלא בפניי שתה ,12,16,7981,7981.0,7088,7085.0,0.6266666666666667,0.8666666666666667,2070005004
ref-t.4.3.2.8.2-ref-t.4.3.2.9.14,ref-y.4.4.3.4.1.11-ref-y.4.4.3.4.1.21,847629,847865,ref-t.4.3.2.8.2,ref-t.4.3.2.9.14,3179558,3179610,ref-y.4.4.3.4.1.11,ref-y.4.4.3.4.1.21,אביך קיבל עליו בפני שנים יכול הוא לחזור בו בפני שלשה,אביך קיבל עליו בפני שנים יכול הוא לחזור בו בפני שלשה,48,11,9137,9137.0,7085,7085.0,0.0,0.0,2070005005
ref-t.4.3.2.9.37-ref-t.4.3.2.9.51,ref-y.2.2.3.6.2.227-ref-y.2.2.3.6.2.240,847973,848063,ref-t.4.3.2.9.37,ref-t.4.3.2.9.51,1147691,1147773,ref-y.2.2.3.6.2.227,ref-y.2.2.3.6.2.240,אין בידו כלום היו הן הראשונים והן האחרונים ונמצאו זוממין בראשונה אין בידו כלום שנייה ,שאם אכלו בראשו שהוא עירוב לראשון ואינו עירוב לשני הווי שתי קדושות הן ואינון ,15,14,2970,2970.0,7091,7091.0,0.7411764705882353,0.8125,2070005006
ref-t.4.3.2.9.39-ref-t.4.3.2.9.59,ref-y.4.1.7.3.1.192-ref-y.4.1.7.3.1.214,847983,848102,ref-t.4.3.2.9.39,ref-t.4.3.2.9.59,3000641,3000763,ref-y.4.1.7.3.1.192,ref-y.4.1.7.3.1.214,כלום היו הן הראשונים והן האחרונים ונמצאו זוממין בראשונה אין בידו כלום שנייה הרי בידו שנה אחת שלישית הרי בידו שתי ,כלום ותני כן הן היו הראשונים והן היו האחרונים התמו בראשונה אין בכך כלום בשנייה הרי אילו עדות אחד שלישית הרי אילו שתי ,21,23,8495,8495.0,7092,7091.0,0.3247863247863248,0.5555555555555556,2070005007
ref-t.4.3.2.9.40-ref-t.4.3.2.9.59,ref-y.4.5.1.4.1.101-ref-y.4.5.1.4.1.121,847988,848102,ref-t.4.3.2.9.40,ref-t.4.3.2.9.59,3320239,3320352,ref-y.4.5.1.4.1.101,ref-y.4.5.1.4.1.121,היו הן הראשונים והן האחרונים ונמצאו זוממין בראשונה אין בידו כלום שנייה הרי בידו שנה אחת שלישית הרי בידו שתי ,היו הן הראשונים והן האחרונים הוזמו בראשונה אין בכך כלום בשנייה הרי היא לו עדות אחת בשלישית הרי היא לו בשתי ,20,21,9487,9487.0,7093,7091.0,0.25925925925925924,0.4,2070005008
ref-t.4.3.2.11.13-ref-t.4.3.2.11.32,ref-y.3.7.1.3.5.135-ref-y.3.7.1.3.5.154,848632,848730,ref-t.4.3.2.11.13,ref-t.4.3.2.11.32,2849663,2849773,ref-y.3.7.1.3.5.135,ref-y.3.7.1.3.5.154,אחד וגדר אחד אינה חזקה נעלו שנים וגדרו שנים הרי זו חזקה היו לו עשר שדות כיון שהחזיק באחת החזיק ,כיון שהחזיק בקרקעות החזיק בעבדים דאמר רבי יסא בשם רבי יוחנן היו לו שתי שדות אחת ביהודה ואחת בגליל החזיק ,20,20,8058,8057.0,7094,7094.0,0.6346153846153846,0.7727272727272727,2070005009
ref-t.4.3.2.11.26-ref-t.4.3.2.11.33,ref-y.3.7.1.5.6.41-ref-y.3.7.1.5.6.50,848694,848737,ref-t.4.3.2.11.26,ref-t.4.3.2.11.33,2861436,2861489,ref-y.3.7.1.5.6.41,ref-y.3.7.1.5.6.50,לו עשר שדות כיון שהחזיק באחת החזיק בכולן ,לו עשר שדות באחת כיון שהחזיק באחת מהן החזיק בכולם ,8,10,8076,8075.0,7095,7094.0,0.2,0.25,2070005010
ref-t.4.3.2.11.52-ref-t.4.3.2.11.63,ref-y.3.2.13.4.2.132-ref-y.3.2.13.4.2.143,848838,848908,ref-t.4.3.2.11.52,ref-t.4.3.2.11.63,2521218,2521295,ref-y.3.2.13.4.2.132,ref-y.3.2.13.4.2.143,וקרקעות הודה בכלים וכפר בקרקעו' בקרקעות וכפר בכלים אם כלים בכלים,כלי' וקרקעות הודה בכלים וכפר בקרקעו' בקרקעות וכפר בכלים אם כלים בכלים,9,11,6984,6984.0,7097,7097.0,0.07246376811594203,0.125,2070005011
ref-t.4.3.2.11.57-ref-t.4.3.2.11.71,ref-y.3.7.1.3.5.123-ref-y.3.7.1.3.5.137,848870,848961,ref-t.4.3.2.11.57,ref-t.4.3.2.11.71,2849587,2849684,ref-y.3.7.1.3.5.123,ref-y.3.7.1.3.5.137,לא זכה בקרקעות בקרקעות לא זכה בכלים עבדים וקרקעות זכה בעבדים זכה בקרקעות זכה בקרקעות ,ולא בקרקעות דתני קרקעות ועבדים החזיק בקרקעות אם אומר את עבדים כקרקעות כיון שהחזיק בקרקעות ,15,15,8057,8057.0,7100,7096.0,0.5333333333333333,0.8333333333333334,2070005012
ref-t.4.3.2.11.41-ref-t.4.3.2.11.63,ref-y.4.6.6.4.1.154-ref-y.4.6.6.4.1.164,848777,848908,ref-t.4.3.2.11.41,ref-t.4.3.2.11.63,3393509,3393583,ref-y.4.6.6.4.1.154,ref-y.4.6.6.4.1.164,לו בכלים וכפר בקרקעות בקרקעות וכפר בכלים כלים וכלים,וקרקעות והודה לו בכלים וכפר בקרקעות בקרקעות וכפר בכלים כלים וכלים,20,11,9730,9730.0,7096,7096.0,0.2153846153846154,0.19999999999999996,2070005013
ref-t.4.3.2.11.102-ref-t.4.3.2.11.109,ref-y.3.7.1.5.6.42-ref-y.3.7.1.5.6.50,849111,849155,ref-t.4.3.2.11.102,ref-t.4.3.2.11.109,2861439,2861489,ref-y.3.7.1.5.6.42,ref-y.3.7.1.5.6.50,עשר שדות כיון שהחזיק באחת מהן החזיק בכולן ,עשר שדות באחת כיון שהחזיק באחת מהן החזיק בכולם ,8,9,8077,8075.0,7101,7101.0,0.1276595744680851,0.25,2070005014
ref-t.4.3.2.13.1-ref-t.4.3.2.13.13,ref-y.1.2.3.7.5.2-ref-y.1.2.3.7.5.19,849220,849294,ref-t.4.3.2.13.1,ref-t.4.3.2.13.13,243555,243652,ref-y.1.2.3.7.5.2,ref-y.1.2.3.7.5.19,נכסים שאין להם אחריות נקנין עם נכסים שיש להם אחריות בכסף ובשטר ובחזקה ,לנכסים שאין להן אחריות שהם נקנים עם נכסים שיש להם אחריות בכסף ובשטר ובחזקה רבי יוסי בשם חזקיה ,13,18,489,489.0,7102,7102.0,0.2765957446808511,0.375,2070005015
ref-t.4.3.3.1.39-ref-t.4.3.3.2.57,ref-y.4.3.4.6.1.87-ref-y.4.3.4.6.1.141,849766,850059,ref-t.4.3.3.1.39,ref-t.4.3.3.2.57,3095547,3095822,ref-y.4.3.4.6.1.87,ref-y.4.3.4.6.1.141,המוכר את העיר רבן שמעון בן גמליאל אומר המובר העיר מבר את הסנטר אבל לא האיקומנס בזמן שאמר לו היא וכל מה שבתוכה,העיר כו' תני המוכר את העיר רבן שמעון בן גמליאל אומר המובר העיר מבר את הסנטר אבל לא האיקומנס בזמן שאמר לו היא וכל מה שבתוכה אף על פי שאמר לו היא וכל מה שבתוכה בין כך ובין כך לא מכר לא את שורה ובנותיה והטרשים המוקצין ממנה והביברין של חיה ושל עופות ושל דגים,34,55,8843,8843.0,7103,7103.0,0.5708661417322834,0.5,2070005016
ref-t.4.3.3.3.51-ref-t.4.3.3.3.65,ref-y.4.3.4.8.3.106-ref-y.4.3.4.8.3.127,850692,850772,ref-t.4.3.3.3.51,ref-t.4.3.3.3.65,3097349,3097470,ref-y.4.3.4.8.3.106,ref-y.4.3.4.8.3.127,הקדיש את השדה הקדיש את כולן רבי שמעון אומר המקדיש את השד' לא הקדיש החרוב המורכב ושקמה הישנה מפני שיונקין משל הקדש,הקדיש את השדה הקדיש את כולן רבי שמעון אומר המקדיש את השד' לא הקדיש החרוב המורכב ושקמה הישנה מפני שיונקין משל הקדש,15,22,8847,8847.0,7106,7106.0,0.0,0.0,2070005017
ref-t.4.3.3.3.62-ref-t.4.3.4.1.13,ref-y.4.3.4.8.3.138-ref-y.4.3.5.1.1.17,850749,850838,ref-t.4.3.3.3.62,ref-t.4.3.4.1.13,3097511,3097648,ref-y.4.3.4.8.3.138,ref-y.4.3.5.1.1.17,שהן יונקין משדה הקדש המוכר את הספינה מכר את האסקלה ואת בית המי' שבתוכה אבל לא מכר ,הן אין יונקין משל הקדש הדרן עלך המוכר את חבית המוכר את הספינה בו' תני המוכר את הספינה מבר את האסכלה ובור המים שבתוכו אבל לא מכר ,17,27,8849,8849.0,7108,7106.0,0.46875,0.6363636363636364,2070005018
ref-t.4.3.4.1.27-ref-t.4.3.4.1.40,ref-y.3.1.7.1.3.136-ref-y.3.1.7.1.3.157,850909,850971,ref-t.4.3.4.1.27,ref-t.4.3.4.1.40,2130980,2131100,ref-y.3.1.7.1.3.136,ref-y.3.1.7.1.3.157,אומ' מכר את הדוגית מכר את העול מכר את הפרות לא מכר את העול ,לעולם או בשמכרן לשעה אין תימר בשמכרן לעולם ולא מכרן לשעה דברי הכל מכורין אין תימר בשמכרן לשעה אבל לא מכרן לעולם ,14,22,5737,5737.0,7109,7109.0,0.6785714285714286,0.9333333333333333,2070005019
ref-t.4.3.4.7.1-ref-t.4.3.4.7.8,ref-y.4.3.7.3.1.4-ref-y.4.3.7.3.1.11,852102,852150,ref-t.4.3.4.7.1,ref-t.4.3.4.7.8,3106175,3106222,ref-y.4.3.7.3.1.4,ref-y.4.3.7.3.1.11,המוכר עבד לחבירו ונמצא גנב או קוביוסטוס הגיעו ,המוכר עבד לחבירו ונמצא גנב או קוביסטוס הגיעו ,8,8,8870,8870.0,7110,7110.0,0.021739130434782608,0.0,2070005020
ref-t.4.3.4.9.10-ref-t.4.3.4.9.18,ref-y.1.5.1.2.1.29-ref-y.1.5.1.2.1.38,852807,852856,ref-t.4.3.4.9.10,ref-t.4.3.4.9.18,453902,453961,ref-y.1.5.1.2.1.29,ref-y.1.5.1.2.1.38,קנה קרקע כל שתחתיו וחוצה לו כמלוא העורה וסלו ,קנה קרקע שתחתיהן קרקע שביניהן שחוצה להן מלא האורה וסלו ,9,10,1050,1050.0,7111,7111.0,0.41818181818181815,0.6923076923076923,2070005021
ref-t.4.3.4.9.26-ref-t.4.3.4.9.36,ref-y.1.5.1.2.1.29-ref-y.1.5.1.2.1.38,852891,852954,ref-t.4.3.4.9.26,ref-t.4.3.4.9.36,453902,453961,ref-y.1.5.1.2.1.29,ref-y.1.5.1.2.1.38,קנה קרקע קנה אילן שביניהן כל שמחליפין חוץ ממלוא העורה וסלו ,קנה קרקע שתחתיהן קרקע שביניהן שחוצה להן מלא האורה וסלו ,11,10,1051,1050.0,7115,7115.0,0.423728813559322,0.6428571428571428,2070005022
ref-t.4.3.4.9.11-ref-t.4.3.4.9.18,ref-y.1.5.1.2.2.55-ref-y.1.5.1.2.2.63,852811,852856,ref-t.4.3.4.9.11,ref-t.4.3.4.9.18,454532,454578,ref-y.1.5.1.2.2.55,ref-y.1.5.1.2.2.63,קרקע כל שתחתיו וחוצה לו כמלוא העורה וסלו ,קרקע שתחתי ו קרקע שחוצה לו מלוא האורה וסלו ,8,9,1055,1055.0,7113,7111.0,0.27906976744186046,0.5555555555555556,2070005023
ref-t.4.3.4.9.10-ref-t.4.3.4.9.34,ref-y.4.3.5.1.6.88-ref-y.4.3.5.1.6.99,852807,852941,ref-t.4.3.4.9.10,ref-t.4.3.4.9.34,3100369,3100443,ref-y.4.3.5.1.6.88,ref-y.4.3.5.1.6.99,הקונה שלשה אילנות קנה קרקע שביניהן ותחתיהן וחוצה להן כמלוא אורה וסלו,הקונה שלשה אילנות קנה קרקע שביניהן ותחתיהן וחוצה להן כמלוא אורה וסלו,21,12,8853,8853.0,7112,7112.0,0.0,0.0,2070005024
ref-t.4.3.4.9.61-ref-t.4.3.4.9.71,ref-y.4.3.5.1.6.84-ref-y.4.3.5.1.6.93,853071,853128,ref-t.4.3.4.9.61,ref-t.4.3.4.9.71,3100351,3100405,ref-y.4.3.5.1.6.84,ref-y.4.3.5.1.6.93,האילן עד שיקנה שלשה קנה שלשה קנה קרקע קנה אילן שביניהן ,אילן אם' ר' יוחנן הקונה שלשה אילנות קנה קרקע שביניהן ,11,10,8852,8852.0,7116,7116.0,0.4909090909090909,0.5,2070005025
ref-t.4.3.4.11.3-ref-t.4.3.4.11.10,ref-y.1.5.1.2.1.23-ref-y.1.5.1.2.1.28,853181,853221,ref-t.4.3.4.11.3,ref-t.4.3.4.11.10,453867,453901,ref-y.1.5.1.2.1.23,ref-y.1.5.1.2.1.28,קרובין זה לזה כדי שיהא בקר עובר בכליו ,קרובין כדי שיהא הבקר עובר בכליו ,8,6,1049,1049.0,7117,7117.0,0.21052631578947367,0.375,2070005026
ref-t.4.3.4.11.3-ref-t.4.3.4.11.10,ref-y.1.5.1.2.1.67-ref-y.1.5.1.2.1.74,853181,853221,ref-t.4.3.4.11.3,ref-t.4.3.4.11.10,454110,454158,ref-y.1.5.1.2.1.67,ref-y.1.5.1.2.1.74,קרובין זה לזה כדי שיהא בקר עובר בכליו ,בקרובין והא תנינן כדי שיהיה הבקר עובר בכליו ,8,8,1052,1052.0,7118,7117.0,0.25,0.4444444444444444,2070005027
ref-t.4.3.5.1.25-ref-t.4.3.5.2.42,ref-y.1.5.10.4.5.61-ref-y.1.5.10.4.5.107,854625,855015,ref-t.4.3.5.1.25,ref-t.4.3.5.2.42,527701,527956,ref-y.1.5.10.4.5.61,ref-y.1.5.10.4.5.107,ברשות הלוקח כיון שקיבל עליו ברשות המוכר לא קנה עד שיגביה או עד שימשוך ויוצא את כל מרשות הבעלים ברשות זה שהיו מופקדין,אימתי אמרו המטלטלין נקנין במשיכה ברשות הרכים או בחצר שאינה של שניהן ברשות הלוקח כיון שקיבל עליו ברשות המוכר לא קנה עד שיגביה או עד שימשוך ויוצא את כל מרשות הבעלים ברשות זה שהיו מופקדין אצלו לא קנה עד שיזכינו בהן או עד שישביר לו את מקומן,20,47,1296,1296.0,7123,7123.0,0.5084745762711864,0.43333333333333335,2070005028
ref-t.4.3.5.1.16-ref-t.4.3.5.2.42,ref-y.3.6.8.1.2.214-ref-y.3.6.8.1.2.268,854577,855015,ref-t.4.3.5.1.16,ref-t.4.3.5.2.42,2698788,2699078,ref-y.3.6.8.1.2.214,ref-y.3.6.8.1.2.268,נקנין במשיכה ברשות הרבים או בחצר שאינה של שניהן אבל ברשות הלוקח כיון שקיבל עליו ברשו' המובר זכה לא קנה אלא עד שעה שיגביה או עד שעה שימשוך ויוצא חוץ מרשו' הבעלי' ברשות זה שהיו מופקדין,אימתי אמרו המטלטלין נקנין במשיכה ברשות הרבים או בחצר שאינה של שניהן אבל ברשות הלוקח כיון שקיבל עליו ברשו' המובר זכה לא קנה אלא עד שעה שיגביה או עד שעה שימשוך ויוצא חוץ מרשו' הבעלי' ברשות זה שהיו מופקדין אצלו לא קנה עד שיזכוהו בהן או עד שישכיר לו את מקומו,29,55,7534,7533.0,7119,7119.0,0.28346456692913385,0.22857142857142854,2070005029
ref-t.4.3.5.1.16-ref-t.4.3.5.2.42,ref-y.3.7.1.4.7.22-ref-y.3.7.1.4.7.72,854577,855015,ref-t.4.3.5.1.16,ref-t.4.3.5.2.42,2856147,2856415,ref-y.3.7.1.4.7.22,ref-y.3.7.1.4.7.72,ניקנין במשיכה ברשות הרבים או בחצר שאינה של שניהן אבל ברשות הלוקח כיון שקיבל עליו זכה ברשות המוכר לא קנה עד שעה שיגביה או עד שעה שמשוך ויוצא חוץ רשות הבעלים כרשות זה שהן מופקדין,אימתי אמרו המטלטלין ניקנין במשיכה ברשות הרבים או בחצר שאינה של שניהן אבל ברשות הלוקח כיון שקיבל עליו זכה ברשות המוכר לא קנה עד שעה שיגביה או עד שעה שמשוך ויוצא חוץ רשות הבעלים כרשות זה שהן מופקדין אצלו לא קנה עד שיזכה הוא בהן או עד שישכור לו את מקומו,29,51,8068,8068.0,7120,7120.0,0.296,0.25,2070005030
ref-t.4.3.5.1.33-ref-t.4.3.5.1.41,ref-y.4.6.8.1.1.68-ref-y.4.6.8.1.1.89,854667,854720,ref-t.4.3.5.1.33,ref-t.4.3.5.1.41,3399494,3399623,ref-y.4.6.8.1.1.68,ref-y.4.6.8.1.1.89,ברשות הבעלי' פטור הגביהו או הוציאו מרשות הבעלים ומת חייב הגביהו ברשות הבעלים כמי שיצא כל רשות הבעלים היו מושכו ויוצא עד,ברשות הבעלי' פטור הגביהו או הוציאו מרשות הבעלים ומת חייב הגביהו ברשות הבעלים כמי שיצא כל רשות הבעלים היו מושכו ויוצא עד,9,8,9750,9750.0,7125,7125.0,0.0,0.0,2070005031
ref-t.4.3.5.2.21-ref-t.4.3.5.2.29,ref-y.4.6.8.1.1.68-ref-y.4.6.8.1.1.89,854898,854951,ref-t.4.3.5.2.21,ref-t.4.3.5.2.29,3399494,3399623,ref-y.4.6.8.1.1.68,ref-y.4.6.8.1.1.89,ברשות הבעלי' פטור הגביהו או הוציאו מרשות הבעלים ומת חייב הגביהו ברשות הבעלים כמי שיצא כל רשות הבעלים היו מושכו ויוצא עד,ברשות הבעלי' פטור הגביהו או הוציאו מרשות הבעלים ומת חייב הגביהו ברשות הבעלים כמי שיצא כל רשות הבעלים היו מושכו ויוצא עד,9,8,9751,9751.0,7130,7130.0,0.0,0.0,2070005032
ref-t.4.3.5.9.44-ref-t.4.3.5.9.52,ref-y.1.5.6.1.21.24-ref-y.1.5.6.1.21.31,856795,856840,ref-t.4.3.5.9.44,ref-t.4.3.5.9.52,485474,485522,ref-y.1.5.6.1.21.24,ref-y.1.5.6.1.21.31,ליטר' ונוטל ממנה רבע ליטרא היה מבקש ממנו חצי ,מטורי אמנה ולפנים ארץ ישראל מטורי אמנה ולחוץ ,9,8,1142,1139.0,7132,7132.0,0.7333333333333333,0.8181818181818181,2070005033
ref-t.4.3.5.9.71-ref-t.4.3.5.10.1,ref-y.1.9.4.2.2.17-ref-y.1.9.4.2.2.32,856934,857058,ref-t.4.3.5.9.71,ref-t.4.3.5.10.1,797462,797529,ref-y.1.9.4.2.2.17,ref-y.1.9.4.2.2.32,קב מין אחד מצרף קב אשה אחרת מצרף קב חדש מצרף קב דבר שניטלה חלתו מן,קב מין אחד מצרף קב אשה אחרת מצרף קב חדש מצרף קב דבר שניטלה חלתו מן,21,16,2201,2201.0,7134,7134.0,0.0,0.0,2070005034
ref-t.4.3.5.9.70-ref-t.4.3.5.9.75,ref-y.3.5.1.7.1.18-ref-y.3.5.1.7.1.31,856929,856959,ref-t.4.3.5.9.70,ref-t.4.3.5.9.75,2256553,2256621,ref-y.3.5.1.7.1.18,ref-y.3.5.1.7.1.31,מודד לו בסאה ונוטל ממנו תרקב ,מודדין לו מאי טעמא בסאסאה בסאה סאה אין לי אלא סאה מניין לרבות תרקב ,6,14,6138,6135.0,7133,7133.0,0.6417910447761194,0.7,2070005035
ref-t.4.3.5.10.19-ref-t.4.3.5.10.29,ref-y.3.5.1.7.1.31-ref-y.3.5.1.7.1.41,857140,857196,ref-t.4.3.5.10.19,ref-t.4.3.5.10.29,2256617,2256679,ref-y.3.5.1.7.1.31,ref-y.3.5.1.7.1.41,תרקב וחצי תרקב קב וחצי קב רובע תומן וחצי תומן ועוכלא ,תרקב וחצי תרקב וקב וחצי קב ורובע ותומן וחצי תומן ואוכלא ,11,11,6139,6135.0,7136,7136.0,0.07142857142857142,0.2857142857142857,2070005036
ref-t.4.3.5.11.1-ref-t.4.3.5.12.20,ref-y.3.7.1.1.22.3-ref-y.3.7.1.1.22.46,857325,857505,ref-t.4.3.5.11.1,ref-t.4.3.5.12.20,2829498,2829746,ref-y.3.7.1.1.22.3,ref-y.3.7.1.1.22.46,פרוטה שאמרו אחד משמנה פרוטות לאיסר איסר אחד מעשרים וארבעה בדינר שש מעה כסף דינר מעה כסף שני פונדיונין פונדיון שני איסרין איסר שני מסמסין מסמס שני קונטרוסין קונטרס שתי פרוטות ,פרוטה אחד משמונה באיסר האיטלקי תני האיסר אחד מעשרים וארבעה בדינר כסף דינר כסף אחד מעשרים וארבעה לדינר זהב תני רבי חייה סילעא ארבעה דינרין שש מעה כסף דינר שני פונדיונין מעה מעה שני איסרין פונדיון שני מסומיסין איסר שני קרדיונטס מסומם שני פרוטות ,31,44,8026,8026.0,7137,7137.0,0.5061728395061729,0.45833333333333337,2070005037
ref-t.4.3.5.12.16-ref-t.4.3.5.12.43,ref-y.3.7.1.1.23.17-ref-y.3.7.1.1.23.28,857473,857633,ref-t.4.3.5.12.16,ref-t.4.3.5.12.43,2829874,2829937,ref-y.3.7.1.1.23.17,ref-y.3.7.1.1.23.28,שלשה דורסים מעה שני ביצים דרוסה שני שמין נותנין שני פרוטות שמין,שלשה דורסים מעה שני ביצים דרוסה שני שמין נותנין שני פרוטות שמין,28,12,8031,8031.0,7139,7139.0,0.0,0.0,2070005038
