,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-sifre-d,dam-lev,jac,id
1539,2030,ref-y.2.5.8.1.2.162-ref-y.2.5.8.1.2.180,ref-sifre-d.261.2.25-ref-sifre-d.261.2.41,1477978,1478084,220139,220155,ref-y.2.5.8.1.2.162,ref-y.2.5.8.1.2.180,251413,251503,42054,42070,ref-sifre-d.261.2.25,ref-sifre-d.261.2.41,נאמר כאן תענו את נפשותיכם ונאמר להלן ויענך וירעיבך מה עינוי שנאמר להלן עינוי רעבון אף עינוי שנאמר כאן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן בשם זובח בזובח אף תועבה האמורה כאן ,16,16,814.0,2006.0,0.5098039215686274,0.6875,4080001540
1540,2031,ref-y.2.6.2.7.1.6-ref-y.2.6.2.7.1.29,ref-sifre-d.261.2.25-ref-sifre-d.261.2.41,1595673,1595797,237661,237681,ref-y.2.6.2.7.1.6,ref-y.2.6.2.7.1.29,251413,251503,42054,42070,ref-sifre-d.261.2.25,ref-sifre-d.261.2.41,נאמר כאן תשבו ונאמר להלן ופתח אוהר' מועד ישבו יומם ולילה מה ישיבה שנאמר להלן עשה בה את הלילות כימים אף ישיבה שנאמר כאן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן בשם זובח בזובח אף תועבה האמורה כאן ,20,16,943.0,2006.0,0.5042016806722689,0.736842105263158,4080001541
1541,2032,ref-y.2.10.1.1.3.68-ref-y.2.10.1.1.3.89,ref-sifre-d.261.2.25-ref-sifre-d.261.2.41,1836010,1836122,274157,274175,ref-y.2.10.1.1.3.68,ref-y.2.10.1.1.3.89,251413,251503,42054,42070,ref-sifre-d.261.2.25,ref-sifre-d.261.2.41,נאמר כאן פרזות ונאמר להלן לבד מערי הפרזי הרבה מאות מה פרזי שנאמ' להלן מימות יהושע בן נון אף פרזות שנאמר כאן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן בשם זובח בזובח אף תועבה האמורה כאן ,18,16,1106.0,2006.0,0.5277777777777778,0.6875,4080001542
1542,2035,ref-y.3.5.7.3.3.36-ref-y.3.5.7.3.3.54,ref-sifre-d.261.2.25-ref-sifre-d.261.2.41,2318253,2318351,346996,347014,ref-y.3.5.7.3.3.36,ref-y.3.5.7.3.3.54,251413,251503,42054,42070,ref-sifre-d.261.2.25,ref-sifre-d.261.2.41,נאמר כאן אלוני מורה ונאמר להלן אלוני מורה מה אלוני מורה האמור להלן שכם אף אילוני מורה האמור כאן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן בשם זובח בזובח אף תועבה האמורה כאן ,18,16,1720.0,2006.0,0.4479166666666667,0.5,4080001543
1543,2036,ref-y.4.4.6.1.1.29-ref-y.4.4.6.1.1.49,ref-sifre-d.261.2.25-ref-sifre-d.261.2.41,3211011,3211117,483022,483042,ref-y.4.4.6.1.1.29,ref-y.4.4.6.1.1.49,251413,251503,42054,42070,ref-sifre-d.261.2.25,ref-sifre-d.261.2.41,נאמ' כאן בשעריך ונאמ' להלן כי ימצא בקרבך בא' שעריך מה שעריך האמור להלן שער שנמצא בו אף שעריך האמור כאן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן בשם זובח בזובח אף תועבה האמורה כאן ,20,16,2456.0,2006.0,0.5048543689320388,0.75,4080001544
1544,2037,ref-y.4.4.7.1.1.26-ref-y.4.4.7.1.1.45,ref-sifre-d.261.2.25-ref-sifre-d.261.2.41,3223732,3223837,485174,485193,ref-y.4.4.7.1.1.26,ref-y.4.4.7.1.1.45,251413,251503,42054,42070,ref-sifre-d.261.2.25,ref-sifre-d.261.2.41,נאמר כאן נקימה ונאמר להלן והבאתי עליכם חרב נקמת נקם ברית מה נקימה האמורה להלן חרב אף נקימה האמורה כאן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן בשם זובח בזובח אף תועבה האמורה כאן ,19,16,2508.0,2006.0,0.5098039215686274,0.6428571428571428,4080001545
1545,2038,ref-y.4.6.1.2.4.39-ref-y.4.6.1.2.4.58,ref-sifre-d.261.2.25-ref-sifre-d.261.2.41,3336498,3336604,502694,502710,ref-y.4.6.1.2.4.39,ref-y.4.6.1.2.4.58,251413,251503,42054,42070,ref-sifre-d.261.2.25,ref-sifre-d.261.2.41,נאמר כאן בהמה טמאה ונאב' להלן בחמה טמאה מה בהמה טמאה האמורה להלן בטומאת הקודש אף בהמה טמאה האמורה כאן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן בשם זובח בזובח אף תועבה האמורה כאן ,16,16,2765.0,2006.0,0.46078431372549017,0.7142857142857143,4080001546
1546,2039,ref-y.1.9.2.1.11.70-ref-y.1.9.2.1.11.89,ref-sifre-d.261.2.25-ref-sifre-d.261.2.42,779725,779822,117346,117365,ref-y.1.9.2.1.11.70,ref-y.1.9.2.1.11.89,251413,251507,42054,42071,ref-sifre-d.261.2.25,ref-sifre-d.261.2.42,נאמר כאן חלה ונאמר להלן חלת להם שמן מה חלה שנאמר להלן עשויה בשמן אף חלה שנאמר כאן עשויה בשמן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן בשם זובח בזובח אף תועבה האמורה כאן בשם ,19,17,481.0,2006.0,0.4946236559139785,0.6428571428571428,4080001547
1547,2040,ref-y.3.4.7.2.5.41-ref-y.3.4.7.2.5.48,ref-sifre-d.261.2.31-ref-sifre-d.261.2.41,2795616,2795652,418849,418856,ref-y.3.4.7.2.5.41,ref-y.3.4.7.2.5.48,251446,251503,42060,42070,ref-sifre-d.261.2.31,ref-sifre-d.261.2.41,מה אדמה שנאמר להלן מזבח אף כאן מזבח ,מה תועבה האומר להלן בשם זובח בזובח אף תועבה האמורה כאן ,7,10,2049.0,2006.0,0.5818181818181818,0.5555555555555556,4080001548
1548,2041,ref-y.3.5.9.5.3.111-ref-y.3.5.9.5.3.138,ref-sifre-d.261.5.10-ref-sifre-d.261.5.21,2347623,2347762,351459,351483,ref-y.3.5.9.5.3.111,ref-y.3.5.9.5.3.138,251757,251818,42112,42123,ref-sifre-d.261.5.10,ref-sifre-d.261.5.21,פוסל בה אי מה עול האמור בפר ה המומין פוסלין בה אף עול האמור בעגלה המומין פוסלין בה תלמוד לומר אשר אין בה מום המומין,שהמום פוסל בהם אין אתנן ומחיר חל עליהם עוף שאין המום פוסל,25,12,1877.0,2041.0,0.6956521739130435,0.8235294117647058,4080001549
1549,2043,ref-y.4.2.5.1.2.46-ref-y.4.2.5.1.2.53,ref-sifre-d.262.1.9-ref-sifre-d.262.1.15,3046062,3046102,457446,457452,ref-y.4.2.5.1.2.46,ref-y.4.2.5.1.2.53,252011,252043,42160,42166,ref-sifre-d.262.1.9,ref-sifre-d.262.1.15,מניין תלמוד לומ' אל תקח מאתו נשך ותרבית ,"מנין ת""ל אל תקח מאתו נשך ותרבית ",6,6,2261.0,2043.0,0.225,0.33333333333333337,4080001550
1550,2044,ref-y.4.2.5.1.2.25-ref-y.4.2.5.1.2.47,ref-sifre-d.262.2.4-ref-sifre-d.262.2.43,3045956,3046078,457429,457447,ref-y.4.2.5.1.2.25,ref-y.4.2.5.1.2.47,252062,252249,42170,42206,ref-sifre-d.262.2.4,ref-sifre-d.262.2.43,"ולא את הריבית כתיב את כספך לא תתן לו כנשך אין לי אלא נשך בכסף וריבית באוכ""ל נשך באוכל",ולא כסף אחרים אכלך ולא אוכל אחרים או כספך ולא כסף מעשה אכלך ולא אוכל בהמה כשהוא אומר נשך כסף לרבות כסף מעשר נשך אוכל לרבות אוכל בהמה אין לי אלא נשך כסף נשך אוכל מנין לרבות,19,37,2261.0,2044.0,0.672514619883041,0.8095238095238095,4080001551
1551,2046,ref-y.4.4.3.9.4.57-ref-y.4.4.3.9.4.70,ref-sifre-d.262.3.24-ref-sifre-d.263.2.8,3187664,3187731,479381,479394,ref-y.4.4.3.9.4.57,ref-y.4.4.3.9.4.70,252372,252489,42228,42248,ref-sifre-d.262.3.24,ref-sifre-d.263.2.8,אנשים מה להלן אנשים ולא נשים אף כאן אנשים ולא נשים ולא קטנים הרי ,"ישך לנכרי תשיך ולאחיך לא תשיך לנכרי תשיך מצות עשה ולאחיך לא תשיך מצות לא תעשה ר""ג אומר מה ת""ל ולאחיך לא תשיך הרי ",13,20,2425.0,2046.0,0.6814159292035398,0.9444444444444444,4080001552
1552,2047,ref-y.4.6.4.1.5.65-ref-y.4.6.4.1.5.76,ref-sifre-d.263.1.2-ref-sifre-d.263.2.10,3368139,3368196,507413,507424,ref-y.4.6.4.1.5.65,ref-y.4.6.4.1.5.76,252383,252496,42230,42250,ref-sifre-d.263.1.2,ref-sifre-d.263.2.10,מה לחלן אנשים ולא נשים ולא קטנים אף כאן אנשים ולא נשים ,"תשיך ולאחיך לא תשיך לנכרי תשיך מצות עשה ולאחיך לא תשיך מצות לא תעשה ר""ג אומר מה ת""ל ולאחיך לא תשיך הרי כבר לא ",11,20,2814.0,2046.0,0.7181818181818181,1.0,4080001553
1553,2048,ref-y.3.4.9.1.1.22-ref-y.3.4.9.1.1.29,ref-sifre-d.263.4.9-ref-sifre-d.264.1.17,2810346,2810397,421158,421165,ref-y.3.4.9.1.1.22,ref-y.3.4.9.1.1.29,252842,252930,42313,42331,ref-sifre-d.263.4.9,ref-sifre-d.264.1.17,להביא הגוים שנודרין נדרים ונדבות כישראל אמור אף ,שתבא תירש כי תדור נדר לה' נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,7,18,2051.0,2048.0,0.7176470588235294,0.7333333333333334,4080001554
1554,2049,ref-y.3.3.1.1.1.110-ref-y.3.3.1.1.1.125,ref-sifre-d.264.1.2-ref-sifre-d.264.1.33,2526213,2526299,378079,378094,ref-y.3.3.1.1.1.110,ref-y.3.3.1.1.1.125,252856,253009,42316,42346,ref-sifre-d.264.1.2,ref-sifre-d.264.1.33,נדר נדר מה נדר שנאמ' להלן כינוי נדרים כנדרים וכינוי שבועה כשבועה אף נדר שנאמר כאן,תדור נדר לה' נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף נדר האמור כאן נדר ונדבה ומה נדר האמור כאן לא תאחר לשלמו אף נדר האמור,16,31,1952.0,2048.0,0.6428571428571429,0.7647058823529411,4080001555
1555,2050,ref-y.3.3.1.1.1.133-ref-y.3.3.1.1.1.145,ref-sifre-d.264.1.2-ref-sifre-d.264.1.33,2526353,2526417,378102,378114,ref-y.3.3.1.1.1.133,ref-y.3.3.1.1.1.145,252856,253009,42316,42346,ref-sifre-d.264.1.2,ref-sifre-d.264.1.33,נדר נדר מה נדר שנאמר להלן כינוי שבועה כשבועה אף נדר שנאמר כאן,תדור נדר לה' נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף נדר האמור כאן נדר ונדבה ומה נדר האמור כאן לא תאחר לשלמו אף נדר האמור,13,31,1959.0,2048.0,0.6714285714285714,0.7142857142857143,4080001556
1556,2051,ref-y.3.4.4.1.3.33-ref-y.3.4.4.1.3.47,ref-sifre-d.264.1.2-ref-sifre-d.264.1.34,2748141,2748210,411748,411760,ref-y.3.4.4.1.3.33,ref-y.3.4.4.1.3.47,252856,253012,42316,42347,ref-sifre-d.264.1.2,ref-sifre-d.264.1.34,נדר נדר מה נדר שנאמר להלן דבר שהנשמה תלויה בו אף נדר שנאמר,תדור נדר לה' נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף נדר האמור כאן נדר ונדבה ומה נדר האמור כאן לא תאחר לשלמו אף נדר האמור להלן,13,32,2031.0,2048.0,0.6827586206896552,0.8125,4080001557
1557,2052,ref-y.1.9.2.1.11.70-ref-y.1.9.2.1.11.87,ref-sifre-d.264.1.4-ref-sifre-d.264.1.17,779725,779810,117346,117363,ref-y.1.9.2.1.11.70,ref-y.1.9.2.1.11.87,252865,252930,42318,42331,ref-sifre-d.264.1.4,ref-sifre-d.264.1.17,נאמר כאן חלה ונאמר להלן חלת להם שמן מה חלה שנאמר להלן עשויה בשמן אף חלה שנאמר כאן,לה' נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף,18,14,481.0,2048.0,0.5802469135802469,0.6428571428571428,4080001558
1558,2054,ref-y.4.8.5.12.2.24-ref-y.4.8.5.12.2.33,ref-sifre-d.264.1.4-ref-sifre-d.264.1.20,3502502,3502549,527696,527705,ref-y.4.8.5.12.2.24,ref-y.4.8.5.12.2.33,252865,252945,42318,42334,ref-sifre-d.264.1.4,ref-sifre-d.264.1.20,מה שם האמור להלן אסור בהנייה אף שם האמור כאן,לה' נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף נדר האמור כאן,10,17,2869.0,2048.0,0.5657894736842105,0.6,4080001559
1559,2055,ref-y.2.5.8.1.2.158-ref-y.2.5.8.1.2.180,ref-sifre-d.264.1.4-ref-sifre-d.264.1.20,1477957,1478084,220137,220155,ref-y.2.5.8.1.2.158,ref-y.2.5.8.1.2.180,252865,252945,42318,42334,ref-sifre-d.264.1.4,ref-sifre-d.264.1.20,משם רבי ישמעאל אמרו נאמר כאן תענו את נפשותיכם ונאמר להלן ויענך וירעיבך מה עינוי שנאמר להלן עינוי רעבון אף עינוי שנאמר כאן ,לה' נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף נדר האמור כאן ,18,16,814.0,2048.0,0.5491803278688525,0.736842105263158,4080001560
1560,2057,ref-y.2.5.2.4.3.22-ref-y.2.5.2.4.3.33,ref-sifre-d.264.1.5-ref-sifre-d.264.1.14,1416081,1416145,210478,210489,ref-y.2.5.2.4.3.22,ref-y.2.5.2.4.3.33,252869,252916,42319,42328,ref-sifre-d.264.1.5,ref-sifre-d.264.1.14,נאמר כאן עריכה ונאמר להלן וערך הכהן אותם מה עריכה שנאמר להלן ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן ,11,9,779.0,2048.0,0.4262295081967213,0.5555555555555556,4080001561
1561,2058,ref-y.2.8.1.1.12.202-ref-y.2.8.1.1.12.211,ref-sifre-d.264.1.5-ref-sifre-d.264.1.14,1641869,1641919,244676,244685,ref-y.2.8.1.1.12.202,ref-y.2.8.1.1.12.211,252869,252916,42319,42328,ref-sifre-d.264.1.5,ref-sifre-d.264.1.14,נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן ,9,9,991.0,2048.0,0.24489795918367346,0.4285714285714286,4080001562
1562,2059,ref-y.2.8.1.1.12.263-ref-y.2.8.1.1.12.272,ref-sifre-d.264.1.5-ref-sifre-d.264.1.14,1642172,1642222,244727,244736,ref-y.2.8.1.1.12.263,ref-y.2.8.1.1.12.272,252869,252916,42319,42328,ref-sifre-d.264.1.5,ref-sifre-d.264.1.14,נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמ' להלן ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן ,9,9,1017.0,2048.0,0.2653061224489796,0.4285714285714286,4080001563
1563,2060,ref-y.3.1.1.1.23.4-ref-y.3.1.1.1.23.55,ref-sifre-d.264.1.5-ref-sifre-d.264.1.20,2056186,2056456,307668,307715,ref-y.3.1.1.1.23.4,ref-y.3.1.1.1.23.55,252869,252945,42319,42334,ref-sifre-d.264.1.5,ref-sifre-d.264.1.20,נאמר כאן אחוה ונאמר להלן שני' עשר עבדיך אחים אנחנו מה אחים שנאמר להלן נאמ' כאן ישיבה ונאמר להלן ישיבה וירשתה וישבת בה מה ישיבה שנאמר להלן ישיבה שיש עמה ירושה אף ישיבה שנאמר כאן,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף נדר האמור כאן,48,16,1407.0,2048.0,0.6647727272727273,0.75,4080001564
1564,2061,ref-y.4.1.4.4.5.133-ref-y.4.1.4.4.5.144,ref-sifre-d.264.1.5-ref-sifre-d.264.1.14,2983586,2983647,447692,447703,ref-y.4.1.4.4.5.133,ref-y.4.1.4.4.5.144,252869,252916,42319,42328,ref-sifre-d.264.1.5,ref-sifre-d.264.1.14,נאמר כאן השור יסקל ונאמר להלן השור יסקל מה שור שנאמר להלן ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן ,11,9,2220.0,2048.0,0.3620689655172414,0.5,4080001565
1565,2062,ref-y.4.4.1.3.2.4-ref-y.4.4.1.3.2.16,ref-sifre-d.264.1.5-ref-sifre-d.264.1.14,3154598,3154667,474171,474183,ref-y.4.4.1.3.2.4,ref-y.4.4.1.3.2.16,252869,252916,42319,42328,ref-sifre-d.264.1.5,ref-sifre-d.264.1.14,נאמר כאן זדון ונאמר להלן זדון בזדון דברו הנביא מה זדון שנאמר להלן ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן ,12,9,2326.0,2048.0,0.42424242424242425,0.5555555555555556,4080001566
1566,2063,ref-y.4.4.1.3.2.32-ref-y.4.4.1.3.2.45,ref-sifre-d.264.1.5-ref-sifre-d.264.1.14,3154751,3154821,474195,474208,ref-y.4.4.1.3.2.32,ref-y.4.4.1.3.2.45,252869,252916,42319,42328,ref-sifre-d.264.1.5,ref-sifre-d.264.1.14,נאמר כאג דיבר ונאמר להלן אשר ידבר הנביא בשם יי' מה דיבר שנאמר להלן ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן ,13,9,2351.0,2048.0,0.44776119402985076,0.75,4080001567
1567,2064,ref-y.4.4.7.5.3.14-ref-y.4.4.7.5.3.28,ref-sifre-d.264.1.5-ref-sifre-d.264.1.14,3229067,3229139,485975,485989,ref-y.4.4.7.5.3.14,ref-y.4.4.7.5.3.28,252869,252916,42319,42328,ref-sifre-d.264.1.5,ref-sifre-d.264.1.14,נאמר כאן דודתו ונאמר להלן או דודו או בן דודו יגאלנו מה דודו שנאמר להלן ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן ,14,9,2564.0,2048.0,0.4788732394366197,0.5555555555555556,4080001568
1568,2065,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,14071,14129,2226,2237,ref-y.1.1.1.1.35.93,ref-y.1.1.1.1.35.104,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,11,12,1.0,2048.0,0.3898305084745763,0.5,4080001569
1569,2066,ref-y.1.4.8.1.2.5-ref-y.1.4.8.1.2.20,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,427265,427339,65727,65742,ref-y.1.4.8.1.2.5,ref-y.1.4.8.1.2.20,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן פן תקדש ונאמר להלן פן תוקדש בו מה פן האמור להלן אסור בחנייה אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,15,12,244.0,2048.0,0.3611111111111111,0.5454545454545454,4080001570
1570,2067,ref-y.1.7.2.4.9.110-ref-y.1.7.2.4.9.127,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,665158,665248,100672,100688,ref-y.1.7.2.4.9.110,ref-y.1.7.2.4.9.127,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן נפשו ונאמר להלן נפשו דכתיב ואליו הוא נושא את נפשו מה נפשו האמורה להלן שכרו אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,16,12,379.0,2048.0,0.5172413793103449,0.6153846153846154,4080001571
1571,2068,ref-y.1.11.2.3.5.3-ref-y.1.11.2.3.5.14,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,873523,873582,130993,131004,ref-y.1.11.2.3.5.3,ref-y.1.11.2.3.5.14,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמ' כאן שמחה ונאמר להלן שמחה מה שמחה שנאמר להלן שלמים אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,11,12,585.0,2048.0,0.423728813559322,0.6363636363636364,4080001572
1572,2069,ref-y.2.4.6.4.4.5-ref-y.2.4.6.4.4.17,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,1561422,1561488,232775,232787,ref-y.2.4.6.4.4.5,ref-y.2.4.6.4.4.17,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן אזכרה ונאמר להלן אזכרה מה אזכרה האמורה להלן מלא קומץ אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,12,12,891.0,2048.0,0.3230769230769231,0.5,4080001573
1573,2070,ref-y.2.12.1.2.2.113-ref-y.2.12.1.2.2.124,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,1928666,1928726,288237,288248,ref-y.2.12.1.2.2.113,ref-y.2.12.1.2.2.124,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,11,12,1215.0,2048.0,0.3728813559322034,0.4444444444444444,4080001574
1574,2071,ref-y.2.12.1.3.1.51-ref-y.2.12.1.3.1.111,ref-sifre-d.264.1.5-ref-sifre-d.264.1.20,1930736,1931033,288522,288578,ref-y.2.12.1.3.1.51,ref-y.2.12.1.3.1.111,252869,252945,42319,42334,ref-sifre-d.264.1.5,ref-sifre-d.264.1.20,"נאמ' כאן מסת ונאמ' להלן כי לא תוכל שאתו מה שאתו האמו' להלן מעש' אף כאן מעשר א""ר לעז' נאמר כאן שמחה ונאמר שמחה מה שמחה האמורה נאמר כאן מסת ונאמר להלן ותרב משאת בנימן מה משאת שנאמר להלן אחת עיקר והשאר טפילה אף מסת שנאמר כאן",נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף נדר האמור כאן,57,16,1257.0,2048.0,0.7420814479638009,0.7916666666666666,4080001575
1575,2073,ref-y.3.1.12.6.7.63-ref-y.3.1.12.6.7.76,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,2206411,2206479,329792,329805,ref-y.3.1.12.6.7.63,ref-y.3.1.12.6.7.76,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן קרייה ונאמר להלן ויקרא בהם שמי מה קרייה שנאמר להלן שבח אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,13,12,1588.0,2048.0,0.47761194029850745,0.5833333333333333,4080001576
1576,2074,ref-y.3.5.2.1.8.8-ref-y.3.5.2.1.8.22,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,2267819,2267892,339233,339245,ref-y.3.5.2.1.8.8,ref-y.3.5.2.1.8.22,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,מה מנחת שנאמר להלן שעורין אף בן שעורין אמר רבי לעזר נאמר כאן אביב ונאמר ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,12,12,1658.0,2048.0,0.6388888888888888,0.6153846153846154,4080001577
1577,2075,ref-y.3.5.8.1.1.42-ref-y.3.5.8.1.1.57,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,2327493,2327580,348416,348431,ref-y.3.5.8.1.1.42,ref-y.3.5.8.1.1.57,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן נגישה ונאמר להלן ונגשו הכחנים בני לוי מה נגישה שנאמר להלן בלשון הקודש אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,15,12,1764.0,2048.0,0.4878048780487805,0.6153846153846154,4080001578
1578,2076,ref-y.3.5.8.1.1.82-ref-y.3.5.8.1.1.97,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,2327701,2327785,348445,348460,ref-y.3.5.8.1.1.82,ref-y.3.5.8.1.1.97,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן נגישה ונאמר להלן ונגש משה אל הערפל מה נגישה שנאמר להלן בלשון הקודש אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,15,12,1799.0,2048.0,0.45569620253164556,0.6666666666666667,4080001579
1579,2077,ref-y.3.7.1.7.18.128-ref-y.3.7.1.7.18.139,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,2879134,2879195,431636,431647,ref-y.3.7.1.7.18.128,ref-y.3.7.1.7.18.139,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן קרחה ונאמר להלן קרחה מה קדחה האמורה להלן כגרים אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,11,12,2120.0,2048.0,0.3389830508474576,0.5,4080001580
1580,2078,ref-y.4.4.1.3.8.127-ref-y.4.4.1.3.8.146,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,3157857,3157958,474652,474667,ref-y.4.4.1.3.8.127,ref-y.4.4.1.3.8.146,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן בני ישראל ונאמר להלן בני ישראל ויבואו בני ישראל לשבר וגו' מה בני ישראל שנאמר להלן עשר' אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,15,12,2381.0,2048.0,0.5757575757575758,0.6153846153846154,4080001581
1581,2079,ref-y.4.4.7.3.1.37-ref-y.4.4.7.3.1.53,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,3226750,3226838,485629,485645,ref-y.4.4.7.3.1.37,ref-y.4.4.7.3.1.53,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן נקימה ונאמר להלן והבאתי עליכם חרב נקמת נקם ברית מה נקימה שנאמר להלן בחרב אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,16,12,2539.0,2048.0,0.5411764705882353,0.6428571428571428,4080001582
1582,2080,ref-y.4.5.2.1.2.56-ref-y.4.5.2.1.2.69,ref-sifre-d.264.1.5-ref-sifre-d.264.1.17,3323464,3323533,500689,500702,ref-y.4.5.2.1.2.56,ref-y.4.5.2.1.2.69,252869,252930,42319,42331,ref-sifre-d.264.1.5,ref-sifre-d.264.1.17,נאמר כאן נשילה ונאמר להלן כי ישל זיתיך מה נשילה שנאמר להלן נשירה אף ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,13,12,2724.0,2048.0,0.4411764705882353,0.5454545454545454,4080001583
